name, lat, lng, province, city, area, address, tag
'广发银行24小时自助银行服务(龙碁中路店)', 22.961098, 113.442799, '广东省', '广州市', '番禺区', '龙碁中路3-5', '金融;atm'
'中国农业银行24小时自助银行', 22.968702, 113.476854, '广东省', '广州市', '番禺区', '广东省广州市番禺区市莲路伟成鞋业股份有限公司东南门', '金融;atm'
'中国银行24小时自助银行(广州番禺石基支行)', 22.961857, 113.439862, '广东省', '广州市', '番禺区', '石基镇基龙西路120号', '金融;atm'
'中国建设银行24小时自助银行服务(广州番禺石基支行)', 22.959378, 113.441971, '广东省', '广州市', '番禺区', '荔新大道30号', '金融;atm'
'广州农商银行24小时自助银行(石岐支行)', 22.95984, 113.44855, '广东省', '广州市', '番禺区', '广东省广州市番禺区石基镇莲塘村石莲路1号至27号之F145-149号', '金融;atm'
'中国邮政储蓄银行', 22.956566, 113.422646, '广东省', '广州市', '番禺区', '广州市番禺区市莲路与新兴路交叉路口往西北约100米(新桥商务中心北侧约50米)', '金融;银行'
'中国银行24小时自助银行(石基支行)', 22.961678, 113.442894, '广东省', '广州市', '番禺区', '龙碁中路37', '金融;atm'
'广州农商银行24小时自助银行(石一分理处)', 22.954153, 113.447425, '广东省', '广州市', '番禺区', '市莲路77-78号', '金融;atm'
'中国邮政储蓄银行24小时自助银行(石基支行)', 22.958883, 113.443018, '广东省', '广州市', '番禺区', '广州市番禺区荔新大道与龙基南路交叉路口东南侧(龙基花园西南侧)', '金融;atm'
'中国银行24小时自助银行(官塱路)', 22.967884, 113.450506, '广东省', '广州市', '番禺区', '广东省广州市番禺区石基镇莲新大街薪源平价自选商场附近', '金融;atm'
'广州农商银行24小时自助银行(东湖洲支行)', 22.933768, 113.422522, '广东省', '广州市', '番禺区', '傍雁路817', '金融;atm'
'广州农商银行(新桥支行)', 22.957277, 113.424081, '广东省', '广州市', '番禺区', '广东省广州市番禺区荣华路1附近', '金融;信用社'
